LJ101-0001|Very soon now I shall be strong enough on my cyclone leg to resume my lessons in waltzing.
LJ217-0002|"If she said with unwonted fervour, ""What a strong man!"" ""What a lovely woman!"" ""What a sweet child!"""
LJ217-0003|It is quite unnecessary to state the end of this poor creature.
LJ217-0004|Many women were executed for causing strange substances to lodge in the bodies of those who offended them.
LJ217-0005|Bits of wood, nails, hair, egg-shells, bits of glass, shreds of linen and woollen cloth,
LJ217-0006|Modern physicians have often had cases of a similar description under their care, where girls have swallowed needles,
LJ217-0007|But the science of that day could not account for these phenomena otherwise than by the power of the devil;
LJ217-0008|Nay, if no more than one suffered in consequence, the district might think itself fortunate.
LJ217-0009|The commissioners seldom stopped short at one victim.
LJ217-0010|averaging from five to six at a time.
LJ217-0011|fourteen vicars of the cathedral, the burgomaster's lady, an apothecary's wife and daughter, two choristers of the cathedral,
LJ217-0012|Rich and poor, young and old, suffered alike.
LJ217-0013|At the seventh of these recorded burnings, the victims are described as a wandering boy,
LJ217-0014|twelve years of age, and four strange men and women found sleeping in the market-place.
LJ217-0015|Thirty-two of the whole number appear to have been vagrants, of both sexes, who, failing to give a satisfactory account of themselves,
LJ217-0016|The number of children on the list is horrible to think upon.
LJ217-0017|a pretty young woman of twenty-four.
LJ217-0018|What tended to keep up the delusion in this unhappy city, and, indeed, all over Europe,
LJ217-0019|Many again, including the apothecary's wife and daughter already mentioned, pretended to sorcery, and sold poisons,
LJ217-0020|But throughout all this fearful period the delusion of the criminals was as great as that of the judges.
LJ217-0021|added the desire of sorcery to their depravity, sometimes with the hope of acquiring power over their fellows,
LJ217-0022|It ran as follows, and was to be repeated slowly, with many ceremonies and wavings of the hand:
LJ217-0023|The two last words were uttered quickly, and with a sort of scream, and were supposed to be highly agreeable to Satan, who loved to be called a king.
LJ217-0024|If he did not appear immediately, it was necessary to repeat a further exorcism.
LJ217-0025|The one in greatest repute was as follows, and was to be read backwards, with the exception of the last two words:
LJ217-0026|When the witch wanted to get rid of the devil, who was sometimes in the habit of prolonging his visits to an unconscionable length,
LJ217-0027|she had only to repeat the following, also backwards, when he generally disappeared, leaving behind him a suffocating smell:
LJ217-0028|This nonsensical jargon soon became known to all the idle and foolish boys of Germany.
LJ217-0029|Many an unhappy urchin, who in a youthful frolic had repeated it, paid for his folly the penalty of his life.
LJ217-0030|Of course every other boy in the city became still more convinced of the power of the charm.
LJ217-0031|One boy confessed that he would willingly have sold himself to the devil, if he could have raised him, for a good dinner
LJ217-0032|In the year 1633
LJ217-0033|Every year in this parish, consisting at most of a thousand persons, the average number of executions was five.
LJ217-0034|Between the years 1660 and 1664,
LJ217-0035|the number consumed was thirty.
LJ217-0036|If the executions all over Germany had been in this frightful proportion, hardly a family could have escaped losing one of its members.
LJ217-0037|with those wretches who from avarice or ambition have sold themselves to the devil, and how they had their reward at last:
LJ217-0038|As she obstinately refused to own that she was in league with the powers of evil,
LJ217-0039|and in this form penetrate into her dungeon.
LJ217-0040|She thought she was actually in the presence of the prince of hell;
LJ217-0041|and when she was told to keep up her courage, and that she should be relieved from the power of her enemies, she fell on her knees before the supposed devil,
LJ217-0042|They sent a hangman's assistant down to her in her prison; they clothed him properly in a bear's skin, as if he were the devil.
LJ217-0043|As feathers thrown into the air shew how the wind blows, so this trumpery ballad serves to shew the current
LJ217-0044|Her coachman gave evidence that she had sacrificed a cock at midnight in one of the churches,
LJ217-0045|When asked by what means she had acquired so extraordinary an influence over the mind of the Queen Mother, she replied boldly
LJ217-0046|She died with great firmness.
LJ217-0047|In two years afterwards, scenes far more horrible than any that had yet taken place in France were enacted
LJ217-0048|It is full of obscenity and absurdity, but the facts may be relied on as far as they relate to the number of trials and executions,
LJ217-0049|He discovered many of them from their partiality to smoking tobacco.
LJ217-0050|"It may be inferred from this that he was of the opinion of King James, that tobacco was the ""devil's weed."""
LJ217-0051|When the commission first sat, the number of persons brought to trial was about forty a day.
LJ217-0052|The acquittals did not average so many as five percent.
LJ217-0053|dressed all in black, with boots, spurs, and sword; and very often as a shapeless mass,
LJ217-0054|Upon one occasion they had had the audacity to celebrate this festival in the very heart of the city of Bourdeaux.
LJ217-0055|The general reply was, that he did not seem to care much about it.
LJ217-0056|Some of them asserted that they had boldly reproached him for suffering the execution of their friends, saying,
LJ217-0057|Upon these occasions he was never offended:
LJ217-0058|"They would then ask him, where their friends were, since they had not suffered; to which the ""Father of Lies"" invariably replied,"
LJ217-0059|Having answered all objections, the orgies recommenced and lasted till the cock crew.
LJ217-0060|Several who were arrested confessed, without being tortured, that they were were-wolves, and that at night
LJ217-0061|by his power he was transformed into the likeness of a wolf.
LJ217-0062|He felt, he said, a fierce pleasure in these excursions, and howled in excess of joy
LJ217-0063|This youth was not alone in this horrid confession;
LJ217-0064|many others voluntarily owned that they were were-wolves, and many more were forced by torture to make the same avowal.
LJ217-0065|They could not imagine why, if he had been an ox, modern men could not become wolves by Divine permission and the power of the devil.
LJ217-0066|They also contended that, if men should confess, it was evidence enough, if there had been no other.
